               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026054,           0.0081983,           0.0024017,             0.95832,             0.95965,             0.98657,             0.78499,            0.020141,           0.0067862,           0.0018226,           0.0038567,           0.0038567,           0.0038567
                  36,            0.025703,           0.0081143,           0.0022439,             0.96884,             0.95354,             0.98738,             0.78758,            0.019999,           0.0067456,           0.0017199,           0.0036489,           0.0036489,           0.0036489
                  37,            0.025407,           0.0080226,           0.0021363,             0.97049,              0.9542,             0.98779,             0.78896,            0.019891,           0.0067215,           0.0016275,           0.0034503,           0.0034503,           0.0034503
                  38,            0.025264,           0.0080743,           0.0019981,             0.96711,             0.95956,             0.98827,             0.79037,            0.019765,           0.0067016,           0.0015028,           0.0032618,           0.0032618,           0.0032618
                  39,            0.025062,           0.0080053,           0.0020237,             0.97026,             0.95673,             0.98868,             0.79287,            0.019653,           0.0066515,            0.001483,           0.0030841,           0.0030841,           0.0030841
                  40,            0.024765,           0.0079101,           0.0018708,              0.9682,             0.96066,             0.98881,             0.79351,            0.019607,           0.0066571,           0.0014454,           0.0029179,           0.0029179,           0.0029179
                  41,            0.024646,           0.0079269,           0.0018868,             0.97208,             0.95392,             0.98906,             0.79309,            0.019552,           0.0066499,           0.0013919,           0.0027639,           0.0027639,           0.0027639
                  42,            0.024205,           0.0077922,           0.0016654,             0.96704,             0.96167,             0.98878,              0.7961,            0.019377,           0.0065997,           0.0013396,           0.0026227,           0.0026227,           0.0026227
                  43,             0.02439,           0.0078628,           0.0016772,             0.96238,             0.96631,             0.98877,             0.79584,            0.019324,           0.0065692,           0.0013123,           0.0024948,           0.0024948,           0.0024948
                  44,            0.024139,            0.007646,            0.001527,             0.97011,             0.96076,             0.98914,             0.79654,            0.019262,           0.0065344,           0.0012784,           0.0023807,           0.0023807,           0.0023807
                  45,            0.023805,           0.0076991,           0.0016103,             0.96659,             0.96374,              0.9893,             0.79741,            0.019194,           0.0065337,           0.0012585,           0.0022809,           0.0022809,           0.0022809
                  46,            0.023506,           0.0077229,           0.0016498,             0.97164,             0.95795,             0.98927,             0.79863,            0.019099,           0.0065223,           0.0012243,           0.0021958,           0.0021958,           0.0021958
                  47,            0.023914,           0.0076769,           0.0015627,             0.96851,             0.96237,             0.98954,              0.7996,            0.019047,           0.0064959,           0.0012226,           0.0021257,           0.0021257,           0.0021257
                  48,            0.023495,           0.0076722,           0.0014981,             0.96886,             0.96353,             0.98938,             0.80051,            0.018977,           0.0064784,            0.001183,           0.0020709,           0.0020709,           0.0020709
                  49,            0.023514,           0.0075043,           0.0014159,             0.96814,             0.96668,             0.98992,             0.80094,             0.01891,           0.0064456,           0.0011525,           0.0020315,           0.0020315,           0.0020315
